Subject,Grade,Test Lang,High Not Meet GL,Approch GL,High Approch GL,Meet GL,Master GL,High Not Meet GL Latest,Approch GL Latest,High Approch GL Latest,Meet GL Latest,Master GL Latest,ID
RLA,0,English,50,60,65,70,80,50,60,65,70,80,162
RLA,0,Spanish,50,60,65,70,80,50,60,65,70,80,163
RLA,1,English,50,60,65,70,80,50,60,65,70,80,164
RLA,1,Spanish,50,60,65,70,80,50,60,65,70,80,165
RLA,2,English,50,60,65,70,80,50,60,65,70,80,166
RLA,2,Spanish,50,60,65,70,80,50,60,65,70,80,167
RLA,3,English,27,35,44,54,73,27,35,44,54,73,168
RLA,3,Spanish,31,42,54,65,75,31,42,54,65,75,169
RLA,4,English,25,31,42,54,73,25,31,42,54,73,170
RLA,4,Spanish,33,46,52,58,71,33,46,52,58,71,171
RLA,5,English,29,37,44,54,71,29,37,44,54,71,172
RLA,5,Spanish,31,42,52,63,79,31,42,52,63,79,173
RLA,6,English,29,36,43,50,71,29,36,43,50,71,174
RLA,6,Spanish,29,36,43,50,71,29,36,43,50,71,175
RLA,7,English,32,43,50,59,75,32,43,50,59,75,176
RLA,7,Spanish,32,43,50,59,75,32,43,50,59,75,177
RLA,8,English,27,34,43,52,70,27,34,43,52,70,178
RLA,8,Spanish,27,34,43,52,70,27,34,43,52,70,179
English I,9,English,31,42,48,55,84,31,42,48,55,84,180
English I,9,Spanish,31,42,48,55,84,31,42,48,55,84,181
English I,10,English,31,42,48,55,84,31,42,48,55,84,182
English I,10,Spanish,31,42,48,55,84,31,42,48,55,84,183
English I,11,English,31,42,48,55,84,31,42,48,55,84,184
English I,11,Spanish,31,42,48,55,84,31,42,48,55,84,185
English I,12,English,31,42,48,55,84,31,42,48,55,84,186
English I,12,Spanish,31,42,48,55,84,31,42,48,55,84,187
English II,10,English,31,42,48,55,88,31,42,48,55,88,188
English II,10,Spanish,31,42,48,55,88,31,42,48,55,88,189
English II,11,English,31,42,48,55,88,31,42,48,55,88,190
English II,11,Spanish,31,42,48,55,88,31,42,48,55,88,191
English II,12,English,31,42,48,55,88,31,42,48,55,88,192
English II,12,Spanish,31,42,48,55,88,31,42,48,55,88,193
Math,0,English,50,60,65,70,80,50,60,65,70,80,194
Math,0,Spanish,50,60,65,70,80,50,60,65,70,80,195
Math,1,English,50,60,65,70,80,50,60,65,70,80,196
Math,1,Spanish,50,60,65,70,80,50,60,65,70,80,197
Math,2,English,50,60,65,70,80,50,60,65,70,80,198
Math,2,Spanish,50,60,65,70,80,50,60,65,70,80,199
Math,3,English,30,41,49,59,78,30,41,49,59,78,200
Math,3,Spanish,30,41,49,59,78,30,41,49,59,78,201
Math,4,English,28,40,48,58,78,28,40,48,58,78,202
Math,4,Spanish,28,40,48,58,78,28,40,48,58,78,203
Math,5,English,29,38,48,57,79,29,38,48,57,79,204
Math,5,Spanish,29,38,48,57,79,29,38,48,57,79,205
Math,6,English,26,35,44,56,79,26,35,44,56,79,206
Math,6,Spanish,26,35,44,56,79,26,35,44,56,79,207
Math,7,English,30,43,50,59,83,30,43,50,59,83,208
Math,7,Spanish,30,43,50,59,83,30,43,50,59,83,209
Math,8,English,27,38,46,54,77,27,38,46,54,77,210
Math,8,Spanish,27,38,46,54,77,27,38,46,54,77,211
Algebra I,9,English,25,34,44,54,69,25,34,44,54,69,212
Algebra I,9,Spanish,25,34,44,54,69,25,34,44,54,69,213
Algebra I,10,English,25,34,44,54,69,25,34,44,54,69,214
Algebra I,10,Spanish,25,34,44,54,69,25,34,44,54,69,215
Algebra I,11,English,25,34,44,54,69,25,34,44,54,69,216
Algebra I,11,Spanish,25,34,44,54,69,25,34,44,54,69,217
Algebra I,12,English,25,34,44,54,69,25,34,44,54,69,218
Algebra I,12,Spanish,25,34,44,54,69,25,34,44,54,69,219
Science,5,English,31,46,54,64,77,31,46,54,64,77,220
Science,5,Spanish,31,46,54,64,77,31,46,54,64,77,221
Science,8,English,28,39,48,57,76,28,39,48,57,76,222
Science,8,Spanish,28,39,48,57,76,28,39,48,57,76,223
Biology,9,English,23,26,36,45,72,23,26,36,45,72,224
Biology,9,Spanish,23,26,36,45,72,23,26,36,45,72,225
Biology,10,English,23,26,36,45,72,23,26,36,45,72,226
Biology,10,Spanish,23,26,36,45,72,23,26,36,45,72,227
Biology,11,English,23,26,36,45,72,23,26,36,45,72,228
Biology,11,Spanish,23,26,36,45,72,23,26,36,45,72,229
Biology,12,English,23,26,36,45,72,23,26,36,45,72,230
Biology,12,Spanish,23,26,36,45,72,23,26,36,45,72,231
Social Studies,8,English,31,43,51,61,73,31,43,51,61,73,232
Social Studies,8,Spanish,31,43,51,61,73,31,43,51,61,73,233
US History,11,English,23,28,37,47,65,23,28,37,47,65,234
US History,11,Spanish,23,28,37,47,65,23,28,37,47,65,235
US History,12,English,23,28,37,47,65,23,28,37,47,65,236
US History,12,Spanish,23,28,37,47,65,23,28,37,47,65,237
