Campus Name,Campus Category,Campus Code,Campus ID
Royalwood Elementary,ELEMENTARY SCHOOL,RE,101924102
Monahan Elementary,ELEMENTARY SCHOOL, ME,101924104
Sheldon Elementary,ELEMENTARY SCHOOL, SE,101924108
9th Grade Center,HIGH SCHOOL,9K,101924113
H.M. Carroll Elementary,ELEMENTARY SCHOOL,CE,101924109
Garrett Elementary,ELEMENTARY SCHOOL,GE,101924111
Sheldon Lake Elementary,ELEMENTARY SCHOOL,LE,101924112
C.E. King Middle School,MIDDLE SCHOOL,KMS,101924041
Null Middle School,MIDDLE SCHOOL,NMS,101924043
C.E. King High School,HIGH SCHOOL,KHS,101924001
Early College High School,HIGH SCHOOL,ECHS,101924014
KASE,HIGH SCHOOL,KASE,101924012
Sheldon Early Childhood Academy,EARLY CHILDHOOD ACADEMY,SECA,101924110
Stephanie Cravens Early Childhood,EARLY CHILDHOOD ACADEMY,CECA,101924107
